,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YDS,PASS_TDS,INTS
61,James White,NE,RB,37.2,148.0,1.1,43.7,344.8,2.2,0.2,0.0,0.0,0,0.0,0.0
62,Sony Michel,MIA,RB,103.4,431.9,2.5,8.9,57.4,0.2,0.7,0.0,0.0,0,0.0,0.0
63,Khalil Herbert,CHI,RB,89.8,377.8,2.0,13.9,101.0,0.3,1.2,0.0,0.0,0,0.0,0.0
64,Jerick McKinnon,KC,RB,39.1,161.2,1.3,30.3,238.5,1.6,0.3,0.0,0.0,0,0.0,0.0
65,Matt Breida,NYG,RB,77.0,338.5,1.7,12.8,99.2,0.7,1.7,0.0,0.0,0,0.0,0.0
66,Ryan Nall,DAL,RB,109.0,322.0,2.0,10.0,63.0,1.0,1.0,0.0,0.0,0,0.0,0.0
67,Samaje Perine,CIN,RB,68.4,291.9,1.5,17.5,122.0,0.6,0.6,0.0,0.0,0,0.0,0.0
68,Dontrell Hilliard,TEN,RB,47.3,239.4,1.7,25.8,162.3,0.5,0.7,0.0,0.0,0,0.0,0.0
69,D'Onta Foreman,CAR,RB,77.8,327.1,2.2,6.1,56.3,0.1,0.7,0.0,0.0,0,0.0,0.0
70,Boston Scott,PHI,RB,61.4,268.3,2.9,7.3,52.0,0.2,0.2,0.0,0.0,0,0.0,0.0
71,Zamir White,LV,RB,62.3,269.4,2.3,7.5,54.5,0.2,0.3,0.0,0.0,0,0.0,0.0
72,Chuba Hubbard,CAR,RB,61.0,229.4,1.8,15.7,112.7,0.5,0.6,0.0,0.0,0,0.0,0.0
73,Tyrion Davis-Price,SF,RB,53.7,230.7,1.9,5.1,36.5,0.2,0.3,0.0,0.0,0,0.0,0.0
74,Ke'Shawn Vaughn,TB,RB,52.4,220.4,2.2,5.3,35.4,0.1,0.7,0.0,0.0,0,0.0,0.0
75,Kyle Juszczyk,SF,RB,12.9,46.9,0.8,22.7,207.7,1.3,0.1,0.0,0.0,0,0.0,0.0
76,Chris Carson,SEA,RB,45.3,201.1,1.6,9.0,63.2,0.2,0.0,0.0,0.0,0,0.0,0.0
77,Jeff Wilson Jr.,SF,RB,42.4,177.1,1.6,10.5,77.1,0.4,0.2,0.0,0.0,0,0.0,0.0
78,Brandon Bolden,LV,RB,32.3,143.3,0.8,17.8,162.7,0.5,1.0,0.0,0.0,0,0.0,0.0
79,Hassan Haskins,TEN,RB,46.2,202.8,1.2,7.9,60.9,0.3,0.1,0.0,0.0,0,0.0,0.0
80,Craig Reynolds,DET,RB,40.7,180.4,0.7,12.5,94.6,0.5,0.6,0.0,0.0,0,0.0,0.0
81,Giovani Bernard,TB,RB,22.4,86.7,0.5,21.5,145.2,1.2,0.1,0.0,0.0,0,0.0,0.0
82,Jaret Patterson,WAS,RB,44.3,180.7,1.5,7.3,53.4,0.1,1.0,0.0,0.0,0,0.0,0.0
83,Joshua Kelley,LAC,RB,58.3,209.4,1.3,5.9,41.6,0.1,1.6,0.0,0.0,0,0.0,0.0
84,Duke Johnson Jr.,BUF,RB,30.2,148.3,1.2,7.9,72.8,0.3,0.5,0.0,0.0,0,0.0,0.0
85,Phillip Lindsay,IND,RB,41.5,187.7,1.2,3.6,25.9,0.1,0.0,0.0,0.0,0,0.0,0.0
86,Chris Evans,CIN,RB,22.8,94.4,0.5,15.2,113.1,0.8,0.2,0.0,0.0,0,0.0,0.0
87,Benny Snell Jr.,PIT,RB,44.1,169.2,1.0,6.0,42.4,0.2,0.2,0.0,0.0,0,0.0,0.0
88,D'Ernest Johnson,CLE,RB,31.9,155.4,1.1,6.4,48.3,0.1,0.1,0.0,0.0,0,0.0,0.0
89,Tony Jones Jr.,NO,RB,34.7,137.2,1.0,3.9,32.7,0.1,0.0,0.0,0.0,0,0.0,0.0
90,Jermar Jefferson,DET,RB,21.7,98.1,1.4,4.4,30.5,0.1,0.0,0.0,0.0,0,0.0,0.0
91,Snoop Conner,JAC,RB,21.6,89.2,0.7,9.2,68.4,0.3,0.1,0.0,0.0,0,0.0,0.0
92,DeeJay Dallas,SEA,RB,16.2,66.9,0.6,12.5,79.8,0.5,0.2,0.0,0.0,0,0.0,0.0
93,Eno Benjamin,ARI,RB,26.5,108.6,0.8,5.3,38.2,0.1,0.2,0.0,0.0,0,0.0,0.0
94,Zack Moss,BUF,RB,26.3,103.2,0.8,4.6,32.3,0.2,0.0,0.0,0.0,0,0.0,0.0
95,Justice Hill,BAL,RB,27.6,109.1,0.6,7.5,53.4,0.2,1.0,0.0,0.0,0,0.0,0.0
96,Tevin Coleman,NYJ,RB,27.9,109.1,0.5,7.8,53.3,0.2,0.5,0.0,0.0,0,0.0,0.0
97,Travis Homer,SEA,RB,16.9,93.1,0.5,6.4,52.3,0.1,0.0,0.0,0.0,0,0.0,0.0
98,Mike Davis,BAL,RB,24.4,106.9,0.5,5.5,34.6,0.2,0.1,0.0,0.0,0,0.0,0.0
99,Tyler Badie,BAL,RB,25.3,130.1,0.6,2.9,24.0,0.0,0.5,0.0,0.0,0,0.0,0.0
100,Pierre Strong Jr.,NE,RB,23.7,100.8,0.7,4.0,31.6,0.1,0.0,0.0,0.0,0,0.0,0.0
101,Ameer Abdullah,LV,RB,13.0,46.6,0.1,10.9,87.2,0.6,0.0,0.0,0.0,0,0.0,0.0
102,Myles Gaskin,MIA,RB,22.0,88.9,0.7,5.5,39.4,0.1,0.0,0.0,0.0,0,0.0,0.0
103,Gary Brightwell,NYG,RB,20.6,83.7,0.7,6.0,43.0,0.1,0.1,0.0,0.0,0,0.0,0.0
104,Ty'Son Williams,IND,RB,19.9,100.9,0.6,3.5,29.7,0.1,0.0,0.0,0.0,0,0.0,0.0
105,Mike Boone,DEN,RB,15.0,83.2,0.9,3.5,25.1,0.1,0.0,0.0,0.0,0,0.0,0.0
106,Royce Freeman,HOU,RB,17.3,70.7,0.4,8.5,55.5,0.3,0.0,0.0,0.0,0,0.0,0.0
107,Isaih Pacheco,KC,RB,20.0,89.8,0.7,3.6,29.9,0.1,0.0,0.0,0.0,0,0.0,0.0
108,Keaontay Ingram,ARI,RB,23.1,94.0,0.7,3.1,26.9,0.0,0.0,0.0,0.0,0,0.0,0.0
109,Kyren Williams,LAR,RB,18.6,74.9,0.8,4.6,35.1,0.0,0.1,0.0,0.0,0,0.0,0.0
110,Patrick Ricard,BAL,RB,2.7,8.2,0.1,12.1,85.3,1.0,0.0,0.0,0.0,0,0.0,0.0
111,Trestan Ebner,CHI,RB,15.5,65.3,0.5,5.7,41.7,0.2,0.1,0.0,0.0,0,0.0,0.0
112,J.J. Taylor,NE,RB,22.4,65.4,1.2,1.5,8.2,0.1,0.0,0.0,0.0,0,0.0,0.0
113,Kevin Harris,NE,RB,19.6,83.6,0.6,3.0,24.3,0.0,0.0,0.0,0.0,0,0.0,0.0
114,Dare Ogunbowale,HOU,RB,9.6,39.0,0.3,9.0,67.8,0.3,0.1,0.0,0.0,0,0.0,0.0
115,Abram Smith,NO,RB,20.5,85.1,0.6,1.9,13.8,0.1,0.1,0.0,0.0,0,0.0,0.0
116,Jerome Ford,CLE,RB,17.0,86.3,0.5,2.0,18.5,0.0,0.0,0.0,0.0,0,0.0,0.0
117,Rico Dowdle,DAL,RB,16.6,69.2,0.5,3.6,27.3,0.1,0.0,0.0,0.0,0,0.0,0.0
118,Trey Sermon,SF,RB,14.8,60.1,0.5,4.6,30.7,0.2,0.0,0.0,0.0,0,0.0,0.0
119,Demetric Felton Jr.,CLE,RB,4.8,18.9,0.1,6.6,66.9,0.7,0.0,0.0,0.0,0,0.0,0.0
120,Johnny Stanton,CLE,RB,6.7,29.8,0.4,5.3,36.1,0.7,0.0,0.0,0.0,0,0.0,0.0
121,Ty Chandler,MIN,RB,18.0,76.7,0.6,2.0,19.5,0.0,0.0,0.0,0.0,0,0.0,0.0
122,Tory Carter,TEN,RB,9.5,44.5,0.5,6.9,49.4,0.1,0.0,0.0,0.0,0,0.0,0.0
123,JaMycal Hasty,SF,RB,11.0,46.6,0.6,5.9,41.0,0.1,0.0,0.0,0.0,0,0.0,0.0
124,Andy Janovich,HOU,RB,8.7,34.6,0.2,8.2,63.6,0.3,0.0,0.0,0.0,0,0.0,0.0
125,Qadree Ollison,ATL,RB,12.6,51.2,0.4,5.7,39.2,0.2,0.1,0.0,0.0,0,0.0,0.0
126,Kene Nwangwu,MIN,RB,13.8,58.1,0.4,4.3,30.5,0.2,0.1,0.0,0.0,0,0.0,0.0
127,Jake Funk,LAR,RB,14.4,60.3,0.5,3.3,23.7,0.2,0.1,0.0,0.0,0,0.0,0.0
128,Larry Rountree III,LAC,RB,15.5,70.7,0.4,2.6,19.9,0.1,0.0,0.0,0.0,0,0.0,0.0
129,Keith Smith,ATL,RB,8.1,32.7,0.2,7.9,54.2,0.3,0.1,0.0,0.0,0,0.0,0.0
130,Dwayne Washington,NO,RB,14.7,63.6,0.4,2.9,21.1,0.1,0.1,0.0,0.0,0,0.0,0.0
131,Anthony McFarland Jr.,PIT,RB,12.8,53.1,0.4,3.2,23.6,0.1,0.1,0.0,0.0,0,0.0,0.0
132,Ty Johnson,NYJ,RB,8.0,33.4,0.2,5.7,45.0,0.2,0.1,0.0,0.0,0,0.0,0.0
133,Trenton Cannon,TEN,RB,7.5,30.1,0.2,5.7,43.7,0.2,0.0,0.0,0.0,0,0.0,0.0
134,C.J. Ham,MIN,RB,5.4,21.9,0.1,6.5,48.8,0.3,0.1,0.0,0.0,0,0.0,0.0
135,Godwin Igwebuike,DET,RB,8.2,35.0,0.3,4.0,29.4,0.2,0.1,0.0,0.0,0,0.0,0.0
136,Derrick Gore,KC,RB,4.4,17.9,0.2,4.7,36.2,0.3,0.0,0.0,0.0,0,0.0,0.0
137,Patrick Taylor Jr.,GB,RB,8.0,33.8,0.3,3.2,23.0,0.1,0.1,0.0,0.0,0,0.0,0.0
138,Darrynton Evans,CHI,RB,8.2,34.8,0.3,2.7,20.9,0.1,0.1,0.0,0.0,0,0.0,0.0
139,Jakob Johnson,LV,RB,4.0,16.5,0.2,4.4,32.7,0.3,0.1,0.0,0.0,0,0.0,0.0
140,Andrew Beck,DEN,RB,4.7,18.9,0.2,4.4,31.9,0.2,0.0,0.0,0.0,0,0.0,0.0
141,Trey Edmunds,PIT,RB,4.4,17.6,0.2,4.5,32.6,0.2,0.0,0.0,0.0,0,0.0,0.0
142,Jordan Wilkins,TEN,RB,5.2,21.9,0.2,3.9,28.1,0.2,0.0,0.0,0.0,0,0.0,0.0
143,Alec Ingold,MIA,RB,4.3,17.4,0.2,4.4,31.3,0.2,0.1,0.0,0.0,0,0.0,0.0
144,Mekhi Sargent,JAC,RB,4.5,17.8,0.2,4.2,32.0,0.2,0.0,0.0,0.0,0,0.0,0.0
145,Giovanni Ricci,CAR,RB,4.5,18.1,0.1,4.1,31.3,0.2,0.0,0.0,0.0,0,0.0,0.0
146,Kylin Hill,GB,RB,6.6,26.8,0.2,3.2,23.1,0.1,0.0,0.0,0.0,0,0.0,0.0
147,Alex Armah Jr.,WAS,RB,4.8,18.9,0.2,3.9,27.9,0.2,0.0,0.0,0.0,0,0.0,0.0
148,Antonio Williams,NYG,RB,7.4,32.2,0.3,2.1,15.0,0.1,0.1,0.0,0.0,0,0.0,0.0
149,Michael Burton,KC,RB,5.8,23.6,0.3,2.3,17.1,0.2,0.0,0.0,0.0,0,0.0,0.0
150,La'Mical Perine,NYJ,RB,4.3,17.2,0.2,3.9,27.4,0.2,0.0,0.0,0.0,0,0.0,0.0
151,Deon Jackson,IND,RB,8.7,37.4,0.3,1.0,6.9,0.0,0.1,0.0,0.0,0,0.0,0.0
152,Jason Cabinda,DET,RB,3.3,13.6,0.1,4.1,30.2,0.2,0.0,0.0,0.0,0,0.0,0.0
153,Trayveon Williams,CIN,RB,4.4,17.9,0.1,4.2,29.2,0.2,0.0,0.0,0.0,0,0.0,0.0
154,Mataeo Durant,PIT,RB,7.4,30.8,0.2,2.1,14.3,0.1,0.0,0.0,0.0,0,0.0,0.0
155,Ryquell Armstead,JAC,RB,4.9,19.9,0.2,2.8,22.2,0.1,0.0,0.0,0.0,0,0.0,0.0
156,Jason Huntley,PHI,RB,6.6,28.3,0.2,1.7,11.9,0.1,0.1,0.0,0.0,0,0.0,0.0
157,Derek Watt,PIT,RB,2.2,8.7,0.1,4.4,32.9,0.2,0.0,0.0,0.0,0,0.0,0.0
158,Khari Blasingame,CHI,RB,2.4,9.8,0.1,3.8,29.4,0.2,0.0,0.0,0.0,0,0.0,0.0
159,Adam Prentice,NO,RB,4.4,18.7,0.1,2.0,14.7,0.1,0.0,0.0,0.0,0,0.0,0.0
160,Reggie Gilliam,BUF,RB,0.0,0.0,0.0,4.4,32.6,0.2,0.0,0.0,0.0,0,0.0,0.0
161,Nick Bawden,NYJ,RB,0.0,0.0,0.0,4.3,31.5,0.2,0.0,0.0,0.0,0,0.0,0.0
162,Gabe Nabers,LAC,RB,4.4,18.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
163,Devine Ozigbo,NO,RB,0.6,2.4,0.0,0.2,1.8,0.0,0.0,0.0,0.0,0,0.0,0.0
164,Damarea Crockett,DEN,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
165,Jonathan Williams,WAS,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
166,Nathan Cottrell,JAC,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
167,John Lovett,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
168,Spencer Brown,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
169,Gerrid Doaks,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
170,Nate McCrary,BAL,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
171,Taiwan Jones,BUF,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
172,John Kelly,CLE,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
173,Salvon Ahmed,MIA,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
174,Kenjon Barner,TB,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
175,Reggie Bonnafon,WAS,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
176,Darius Bradwell,CAR,RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
177,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
178,0,0,RB,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Cooper Kupp,LAR,WR,4.2,24.4,0.1,120.6,"1,553.4",12.0,0.8,0.0,0.0,0,0.0,0.0
2,Justin Jefferson,MIN,WR,3.3,16.7,0.1,100.8,"1,485.7",9.0,0.8,0.0,0.0,0,0.0,0.0
3,Deebo Samuel,SF,WR,59.0,344.0,4.6,71.0,"1,061.8",5.5,1.6,0.0,0.0,0,0.0,0.0
4,Ja'Marr Chase,CIN,WR,8.4,44.8,0.2,89.0,"1,359.1",9.8,0.9,0.0,0.0,0,0.0,0.0
5,Davante Adams,LV,WR,0.0,0.0,0.0,104.8,"1,299.0",8.3,0.7,0.0,0.0,0,0.0,0.0
6,Stefon Diggs,BUF,WR,0.3,2.5,0.0,101.3,"1,246.1",9.2,0.8,0.0,0.0,0,0.0,0.0
7,Mike Evans,TB,WR,0.3,1.8,0.0,82.8,"1,152.1",10.7,0.7,0.0,0.0,0,0.0,0.0
8,CeeDee Lamb,DAL,WR,6.7,51.8,0.1,91.8,"1,226.0",7.9,0.7,0.0,0.0,0,0.0,0.0
9,Tyreek Hill,MIA,WR,8.4,60.1,0.4,92.1,"1,143.5",7.6,0.8,0.0,0.0,0,0.0,0.0
10,Tee Higgins,CIN,WR,0.3,1.0,0.0,83.1,"1,134.2",7.4,0.8,0.0,0.0,0,0.0,0.0
11,A.J. Brown,PHI,WR,0.5,5.5,0.0,77.7,"1,102.7",7.5,0.7,0.0,0.0,0,0.0,0.0
12,DJ Moore,CAR,WR,4.6,29.6,0.1,87.4,"1,180.2",5.6,0.8,0.0,0.0,0,0.0,0.0
13,Mike Williams,LAC,WR,0.0,0.3,0.0,70.8,"1,056.3",7.8,0.6,0.0,0.0,0,0.0,0.0
14,Michael Pittman Jr.,IND,WR,3.7,28.4,0.0,88.7,"1,100.8",6.4,0.8,0.0,0.0,0,0.0,0.0
15,Keenan Allen,LAC,WR,0.3,0.5,0.0,102.2,"1,101.9",6.8,0.8,0.0,0.0,0,0.0,0.0
16,DK Metcalf,SEA,WR,0.3,1.5,0.0,79.0,"1,072.9",6.7,0.8,0.0,0.0,0,0.0,0.0
17,Diontae Johnson,PIT,WR,4.3,32.8,0.1,94.5,"1,065.1",6.0,1.4,0.0,0.0,0,0.0,0.0
18,Terry McLaurin,WAS,WR,0.3,3.3,0.0,80.2,"1,081.3",6.0,0.7,0.0,0.0,0,0.0,0.0
19,Jerry Jeudy,DEN,WR,1.5,6.8,0.0,77.2,"1,079.4",5.8,0.9,0.0,0.0,0,0.0,0.0
20,Courtland Sutton,DEN,WR,0.3,0.8,0.0,72.3,"1,016.9",6.7,0.7,0.0,0.0,0,0.0,0.0
21,Brandin Cooks,HOU,WR,2.8,19.5,0.1,91.0,"1,069.1",5.4,0.7,0.0,0.0,0,0.0,0.0
22,Gabriel Davis,BUF,WR,0.0,0.0,0.0,58.5,889.0,8.3,0.2,0.0,0.0,0,0.0,0.0
23,Jaylen Waddle,MIA,WR,3.6,20.1,0.4,91.6,989.2,6.1,0.9,0.0,0.0,0,0.0,0.0
24,Chris Godwin,TB,WR,1.8,10.0,0.3,81.6,960.5,6.5,1.3,0.0,0.0,0,0.0,0.0
25,Darnell Mooney,CHI,WR,4.3,22.2,0.3,76.0,"1,023.8",4.7,0.7,0.0,0.0,0,0.0,0.0
26,Amari Cooper,CLE,WR,0.3,0.8,0.0,76.7,971.3,6.2,0.8,0.0,0.0,0,0.0,0.0
27,Allen Robinson II,LAR,WR,0.0,0.0,0.0,73.5,937.4,6.5,0.7,0.0,0.0,0,0.0,0.0
28,Tyler Lockett,SEA,WR,2.1,11.1,0.1,76.8,986.2,5.1,0.7,0.0,0.0,0,0.0,0.0
29,Marquise Brown,ARI,WR,1.4,8.4,0.1,76.0,935.5,5.8,0.9,0.0,0.0,0,0.0,0.0
30,Amon-Ra St. Brown,DET,WR,8.0,56.3,0.5,81.7,882.4,5.3,0.8,0.0,0.0,0,0.0,0.0
31,Michael Thomas,NO,WR,0.3,-1.0,0.0,80.6,944.6,5.7,0.7,0.0,0.0,0,0.0,0.0
32,Adam Thielen,MIN,WR,0.5,1.5,0.0,72.1,798.0,8.0,0.8,0.0,0.0,0,0.0,0.0
33,JuJu Smith-Schuster,KC,WR,2.4,11.6,0.6,75.3,815.5,6.3,0.8,0.0,0.0,0,0.0,0.0
34,Rashod Bateman,BAL,WR,0.0,0.0,0.0,73.5,931.1,5.0,0.8,0.0,0.0,0,0.0,0.0
35,Elijah Moore,NYJ,WR,5.3,44.7,0.6,64.5,823.6,5.3,0.8,0.0,0.0,0,0.0,0.0
36,DeVonta Smith,PHI,WR,0.0,0.0,0.0,64.1,857.8,6.1,0.7,0.0,0.0,0,0.0,0.0
37,Hunter Renfrow,LV,WR,1.5,6.3,0.0,79.4,826.0,5.8,1.0,0.0,0.0,0,0.0,0.0
38,Chase Claypool,PIT,WR,8.9,52.8,0.3,61.0,856.2,4.1,0.7,0.0,0.0,0,0.0,0.0
39,Treylon Burks,TEN,WR,2.6,15.0,0.1,61.1,866.9,4.9,1.2,0.0,0.0,0,0.0,0.0
40,Robert Woods,TEN,WR,7.4,51.5,0.6,68.9,802.2,4.7,0.7,0.0,0.0,0,0.0,0.0
41,Christian Kirk,JAC,WR,0.5,5.0,0.0,72.8,875.3,4.6,0.7,0.0,0.0,0,0.0,0.0
42,Drake London,ATL,WR,0.8,3.0,0.0,64.8,877.2,4.5,1.2,0.0,0.0,0,0.0,0.0
43,Russell Gage,TB,WR,0.3,1.0,0.0,66.5,776.7,5.8,1.3,0.0,0.0,0,0.0,0.0
44,DeVante Parker,NE,WR,0.0,0.0,0.0,57.3,774.9,5.0,0.7,0.0,0.0,0,0.0,0.0
45,Brandon Aiyuk,SF,WR,2.6,16.1,0.0,58.7,763.7,4.9,0.8,0.0,0.0,0,0.0,0.0
46,Robbie Anderson,CAR,WR,3.4,23.9,0.1,58.8,744.4,4.9,0.7,0.0,0.0,0,0.0,0.0
47,Kadarius Toney,NYG,WR,8.0,52.5,0.2,66.8,765.8,4.0,0.8,0.0,0.0,0,0.0,0.0
48,DeAndre Hopkins,ARI,WR,0.0,0.5,0.0,59.1,729.7,5.6,0.7,0.0,0.0,0,0.0,0.0
49,Kenny Golladay,NYG,WR,0.0,0.0,0.0,55.3,800.6,4.4,0.7,0.0,0.0,0,0.0,0.0
50,Michael Gallup,DAL,WR,0.0,0.0,0.0,53.8,744.9,5.1,0.6,0.0,0.0,0,0.0,0.0
51,Tim Patrick,DEN,WR,0.0,0.0,0.0,52.9,720.1,5.4,0.7,0.0,0.0,0,0.0,0.0
52,Allen Lazard,GB,WR,1.8,14.9,0.0,50.5,655.9,6.0,0.6,0.0,0.0,0,0.0,0.0
53,Marquez Valdes-Scantling,KC,WR,0.7,4.0,0.0,43.1,708.5,4.9,0.1,0.0,0.0,0,0.0,0.0
54,Tyler Boyd,CIN,WR,2.3,16.8,0.0,65.3,742.8,4.2,0.7,0.0,0.0,0,0.0,0.0
55,Garrett Wilson,NYJ,WR,1.0,5.7,0.0,53.8,754.2,4.1,1.2,0.0,0.0,0,0.0,0.0
56,Chris Olave,NO,WR,0.5,2.8,0.0,49.6,706.3,4.6,0.7,0.0,0.0,0,0.0,0.0
57,Marvin Jones Jr.,JAC,WR,0.0,0.0,0.0,56.3,663.9,5.0,0.6,0.0,0.0,0,0.0,0.0
58,Jarvis Landry,NO,WR,3.0,15.6,0.3,57.0,696.5,3.9,0.9,0.0,0.0,0,0.0,0.0
59,Mecole Hardman,KC,WR,9.1,59.7,0.5,51.9,646.1,3.9,1.3,0.0,0.0,0,0.0,0.0
60,Jakobi Meyers,NE,WR,0.3,2.3,0.0,68.1,745.3,3.4,0.7,0.0,0.0,0,0.0,0.0
61,Van Jefferson,LAR,WR,2.3,18.8,0.1,45.1,640.6,4.6,0.2,0.0,0.0,0,0.0,0.0
62,Christian Watson,GB,WR,1.5,8.9,0.0,49.2,664.9,4.7,1.2,0.0,0.0,0,0.0,0.0
63,K.J. Osborn,MIN,WR,0.3,2.5,0.0,48.7,629.3,5.0,0.6,0.0,0.0,0,0.0,0.0
64,Jalen Tolbert,DAL,WR,0.5,3.0,0.0,47.1,612.7,4.3,0.7,0.0,0.0,0,0.0,0.0
65,Skyy Moore,KC,WR,0.5,3.0,0.0,45.2,601.9,4.6,1.2,0.0,0.0,0,0.0,0.0
66,DJ Chark Jr.,DET,WR,0.3,2.0,0.0,40.8,584.5,4.2,0.1,0.0,0.0,0,0.0,0.0
67,Rondale Moore,ARI,WR,16.8,82.3,0.5,57.9,553.4,3.0,0.9,0.0,0.0,0,0.0,0.0
68,Jahan Dotson,WAS,WR,0.5,2.8,0.0,48.7,646.8,3.3,1.2,0.0,0.0,0,0.0,0.0
69,Corey Davis,NYJ,WR,0.0,0.0,0.0,44.3,608.5,3.8,0.7,0.0,0.0,0,0.0,0.0
70,Jameson Williams,DET,WR,0.5,2.8,0.0,45.0,613.4,3.6,1.1,0.0,0.0,0,0.0,0.0
71,Curtis Samuel,WAS,WR,13.5,77.7,0.8,43.7,483.9,3.4,0.7,0.0,0.0,0,0.0,0.0
72,George Pickens,PIT,WR,0.5,2.3,0.0,50.4,626.0,3.2,1.2,0.0,0.0,0,0.0,0.0
73,Donovan Peoples-Jones,CLE,WR,0.0,0.0,0.0,39.0,602.6,3.1,0.7,0.0,0.0,0,0.0,0.0
74,Randall Cobb,GB,WR,1.0,3.7,0.0,40.3,506.8,4.5,0.7,0.0,0.0,0,0.0,0.0
75,Nico Collins,HOU,WR,0.0,0.0,0.0,44.7,579.0,3.0,0.2,0.0,0.0,0,0.0,0.0
76,A.J. Green,ARI,WR,0.0,0.0,0.0,38.9,549.8,3.0,0.1,0.0,0.0,0,0.0,0.0
77,Nick Westbrook-Ikhine,TEN,WR,0.0,0.0,0.0,41.0,515.6,3.7,0.7,0.0,0.0,0,0.0,0.0
78,James Washington,DAL,WR,0.5,3.3,0.0,32.3,473.4,4.0,0.1,0.0,0.0,0,0.0,0.0
79,Alec Pierce,IND,WR,0.0,0.0,0.0,39.5,503.8,3.6,0.3,0.0,0.0,0,0.0,0.0
80,Jamison Crowder,BUF,WR,0.3,1.3,0.0,47.6,489.4,3.9,0.7,0.0,0.0,0,0.0,0.0
81,Cedrick Wilson Jr.,MIA,WR,0.8,2.0,0.0,43.0,512.0,3.3,0.8,0.0,0.0,0,0.0,0.0
82,Velus Jones Jr.,CHI,WR,2.1,12.6,0.1,37.9,484.3,3.2,0.3,0.0,0.0,0,0.0,0.0
83,Joshua Palmer,LAC,WR,0.0,0.0,0.0,41.6,483.7,3.5,0.4,0.0,0.0,0,0.0,0.0
84,Parris Campbell,IND,WR,0.8,6.8,0.0,38.7,492.2,3.1,0.1,0.0,0.0,0,0.0,0.0
85,Sterling Shepard,NYG,WR,1.3,5.5,0.0,54.0,528.4,2.6,0.6,0.0,0.0,0,0.0,0.0
86,Kendrick Bourne,NE,WR,5.8,46.8,0.1,36.0,460.9,2.7,0.7,0.0,0.0,0,0.0,0.0
87,John Metchie III,HOU,WR,0.0,0.0,0.0,42.6,507.8,2.6,0.3,0.0,0.0,0,0.0,0.0
88,Sammy Watkins,GB,WR,0.8,4.4,0.0,36.7,479.5,3.0,0.7,0.0,0.0,0,0.0,0.0
89,Devin Duvernay,BAL,WR,3.3,22.0,0.1,42.5,461.6,2.7,0.4,0.0,0.0,0,0.0,0.0
90,Byron Pringle,CHI,WR,0.0,0.0,0.0,38.9,495.8,2.4,0.3,0.0,0.0,0,0.0,0.0
91,Zay Jones,JAC,WR,0.5,0.8,0.0,40.1,465.9,2.6,0.6,0.0,0.0,0,0.0,0.0
92,Nelson Agholor,NE,WR,1.8,9.4,0.1,32.2,434.4,2.6,0.1,0.0,0.0,0,0.0,0.0
93,Dee Eskridge,SEA,WR,6.4,43.7,0.1,33.3,415.0,2.3,0.3,0.0,0.0,0,0.0,0.0
94,Bryan Edwards,ATL,WR,0.0,0.0,0.0,31.6,448.8,2.4,0.1,0.0,0.0,0,0.0,0.0
95,Laviska Shenault Jr.,JAC,WR,12.8,62.1,0.5,35.8,372.5,2.2,0.6,0.0,0.0,0,0.0,0.0
96,Braxton Berrios,NYJ,WR,6.5,39.3,1.1,34.7,356.1,2.0,0.7,0.0,0.0,0,0.0,0.0
97,Darius Slayton,NYG,WR,0.3,-2.8,0.0,29.1,389.5,2.3,0.6,0.0,0.0,0,0.0,0.0
98,David Bell,CLE,WR,0.7,4.3,0.0,29.0,389.5,2.1,0.6,0.0,0.0,0,0.0,0.0
99,Jalen Guyton,LAC,WR,4.7,26.6,0.1,23.3,342.6,2.2,0.1,0.0,0.0,0,0.0,0.0
