,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YDS,PASS_TDS,INTS
119,Freddie Swain,SEA,WR,0.7,4.0,0.0,20.9,236.6,1.3,0.1,0.0,0.0,0,0.0,0.0
120,Rashard Higgins,CAR,WR,0.0,0.0,0.0,18.1,243.9,1.2,0.1,0.0,0.0,0,0.0,0.0
121,Calvin Austin III,PIT,WR,0.0,0.0,0.0,21.6,242.8,1.2,0.1,0.0,0.0,0,0.0,0.0
122,Phillip Dorsett II,HOU,WR,1.1,6.6,0.0,18.8,229.5,1.2,0.1,0.0,0.0,0,0.0,0.0
123,Tyquan Thornton,NE,WR,0.0,0.0,0.0,17.3,205.1,1.3,0.1,0.0,0.0,0,0.0,0.0
124,Keke Coutee,IND,WR,0.0,0.0,0.0,17.8,204.1,1.3,0.0,0.0,0.0,0,0.0,0.0
125,James Proche II,BAL,WR,0.0,0.0,0.0,17.5,214.6,1.1,0.2,0.0,0.0,0,0.0,0.0
126,Josh Reynolds,DET,WR,0.0,0.0,0.0,14.2,188.4,1.5,0.1,0.0,0.0,0,0.0,0.0
127,Tutu Atwell,LAR,WR,0.0,0.0,0.0,14.6,183.5,1.3,0.2,0.0,0.0,0,0.0,0.0
128,Equanimeous St. Brown,CHI,WR,0.0,0.0,0.0,12.5,182.8,1.1,0.1,0.0,0.0,0,0.0,0.0
129,Ben Skowronek,LAR,WR,0.0,0.0,0.0,13.0,160.8,1.4,0.1,0.0,0.0,0,0.0,0.0
130,Antoine Wesley,ARI,WR,0.0,0.0,0.0,13.1,163.9,1.3,0.1,0.0,0.0,0,0.0,0.0
131,Zach Pascal,PHI,WR,0.0,0.0,0.0,13.4,159.2,1.4,0.1,0.0,0.0,0,0.0,0.0
132,Juwann Winfree,GB,WR,0.0,0.0,0.0,14.4,167.7,1.2,0.0,0.0,0.0,0,0.0,0.0
133,Jamal Agnew,JAC,WR,8.6,56.3,0.4,10.4,118.9,0.7,0.1,0.0,0.0,0,0.0,0.0
134,Miles Boykin,PIT,WR,0.0,0.0,0.0,13.2,162.8,1.1,0.0,0.0,0.0,0,0.0,0.0
135,Dyami Brown,WAS,WR,0.0,0.0,0.0,12.9,160.1,1.0,0.1,0.0,0.0,0,0.0,0.0
136,Damiere Byrd,ATL,WR,0.0,0.0,0.0,15.0,172.6,0.8,0.1,0.0,0.0,0,0.0,0.0
137,Simi Fehoko,DAL,WR,0.0,0.0,0.0,11.0,155.0,1.0,0.0,0.0,0.0,0,0.0,0.0
138,Chad Beebe,HOU,WR,0.0,0.0,0.0,14.0,166.4,0.8,0.0,0.0,0.0,0,0.0,0.0
139,Ihmir Smith-Marsette,MIN,WR,0.0,0.0,0.0,12.2,145.4,1.0,0.1,0.0,0.0,0,0.0,0.0
140,Dazz Newsome,CHI,WR,0.0,0.0,0.0,11.9,153.2,0.8,0.0,0.0,0.0,0,0.0,0.0
