"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jermar Jefferson","DET","21.7","98.1","1.4","4.4","30.5","0.1","0.0","21.7"
"Snoop Conner","JAC","21.6","89.2","0.7","9.2","68.4","0.3","0.1","21.6"
"DeeJay Dallas","SEA","16.2","66.9","0.6","12.5","79.8","0.5","0.2","20.9"
"Eno Benjamin","ARI","26.5","108.6","0.8","5.3","38.2","0.1","0.2","19.8"
"Zack Moss","BUF","26.3","103.2","0.8","4.6","32.3","0.2","0.0","19.3"
"Justice Hill","BAL","27.6","109.1","0.6","7.5","53.4","0.2","1.0","19.1"
"Tevin Coleman","NYJ","27.9","109.1","0.5","7.8","53.3","0.2","0.5","19.1"
"Travis Homer","SEA","16.9","93.1","0.5","6.4","52.3","0.1","0.0","18.3"
"Mike Davis","BAL","24.4","106.9","0.5","5.5","34.6","0.2","0.1","18.1"
"Tyler Badie","BAL","25.3","130.1","0.6","2.9","24.0","0.0","0.5","18.1"
"Pierre Strong Jr.","NE","23.7","100.8","0.7","4.0","31.6","0.1","0.0","18.1"
"Ameer Abdullah","LV","13.0","46.6","0.1","10.9","87.2","0.6","0.0","17.5"
"Myles Gaskin","MIA","22.0","88.9","0.7","5.5","39.4","0.1","0.0","17.5"
"Gary Brightwell","NYG","20.6","83.7","0.7","6.0","43.0","0.1","0.1","17.2"
"Ty'Son Williams","IND","19.9","100.9","0.6","3.5","29.7","0.1","0.0","17.1"
"Mike Boone","DEN","15.0","83.2","0.9","3.5","25.1","0.1","0.0","16.7"
"Royce Freeman","HOU","17.3","70.7","0.4","8.5","55.5","0.3","0.0","16.6"
"Isaih Pacheco","KC","20.0","89.8","0.7","3.6","29.9","0.1","0.0","16.5"
"Keaontay Ingram","ARI","23.1","94.0","0.7","3.1","26.9","0.0","0.0","16.4"
"Kyren Williams","LAR","18.6","74.9","0.8","4.6","35.1","0.0","0.1","15.8"
"Patrick Ricard","BAL","2.7","8.2","0.1","12.1","85.3","1.0","0.0","15.4"
"Trestan Ebner","CHI","15.5","65.3","0.5","5.7","41.7","0.2","0.1","15.0"
"J.J. Taylor","NE","22.4","65.4","1.2","1.5","8.2","0.1","0.0","14.7"
"Kevin Harris","NE","19.6","83.6","0.6","3.0","24.3","0.0","0.0","14.5"
"Dare Ogunbowale","HOU","9.6","39.0","0.3","9.0","67.8","0.3","0.1","13.9"
"Abram Smith","NO","20.5","85.1","0.6","1.9","13.8","0.1","0.1","13.9"
"Jerome Ford","CLE","17.0","86.3","0.5","2.0","18.5","0.0","0.0","13.7"
"Rico Dowdle","DAL","16.6","69.2","0.5","3.6","27.3","0.1","0.0","13.3"
"Trey Sermon","SF","14.8","60.1","0.5","4.6","30.7","0.2","0.0","13.3"
"Demetric Felton Jr.","CLE","4.8","18.9","0.1","6.6","66.9","0.7","0.0","13.2"
"Johnny Stanton","CLE","6.7","29.8","0.4","5.3","36.1","0.7","0.0","13.1"
"Ty Chandler","MIN","18.0","76.7","0.6","2.0","19.5","0.0","0.0","13.0"
"Tory Carter","TEN","9.5","44.5","0.5","6.9","49.4","0.1","0.0","12.9"
