"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Michael Carter","NYJ","RB39","122.8","521.7","3.0","34.0","288.6","1.1","1.2","103.0"
"Gus Edwards","BAL","RB40","139.4","688.7","4.2","11.4","99.2","0.3","1.3","102.8"
"Allen Lazard","GB","WR52","1.8","14.9","0.0","50.5","655.9","6.0","0.6","102.0"
"Ronald Jones II","KC","RB41","137.4","604.1","5.1","14.3","102.1","0.5","1.4","101.3"
"Marquez Valdes-Scantling","KC","WR53","0.7","4.0","0.0","43.1","708.5","4.9","0.1","100.6"
"Tyler Boyd","CIN","WR54","2.3","16.8","0.0","65.3","742.8","4.2","0.7","99.5"
"T.J. Hockenson","DET","TE8","0.0","0.0","0.0","68.0","699.9","5.1","0.7","99.1"
"Garrett Wilson","NYJ","WR55","1.0","5.7","0.0","53.8","754.2","4.1","1.2","98.4"
"Raheem Mostert","MIA","RB42","119.0","573.0","3.8","17.9","140.2","0.9","0.8","97.7"
"Chris Olave","NO","WR56","0.5","2.8","0.0","49.6","706.3","4.6","0.7","97.4"
"Marvin Jones Jr.","JAC","WR57","0.0","0.0","0.0","56.3","663.9","5.0","0.6","94.9"
"Jarvis Landry","NO","WR58","3.0","15.6","0.3","57.0","696.5","3.9","0.9","94.8"
"Mecole Hardman","KC","WR59","9.1","59.7","0.5","51.9","646.1","3.9","1.3","94.4"
"Jamaal Williams","DET","RB43","143.1","581.4","3.3","22.2","142.5","0.8","1.2","94.1"
"Jakobi Meyers","NE","WR60","0.3","2.3","0.0","68.1","745.3","3.4","0.7","94.0"
"Van Jefferson","LAR","WR61","2.3","18.8","0.1","45.1","640.6","4.6","0.2","93.7"
"Marlon Mack","HOU","RB44","153.0","616.4","3.7","16.1","107.7","0.2","1.2","93.4"
"Dawson Knox","BUF","TE9","0.0","0.0","0.0","48.6","579.1","6.0","0.1","93.4"
"Christian Watson","GB","WR62","1.5","8.9","0.0","49.2","664.9","4.7","1.2","93.4"
"James Cook","BUF","RB45","99.1","439.9","3.2","30.0","233.7","1.5","1.3","93.2"
"Darrell Henderson Jr.","LAR","RB46","113.3","482.4","3.9","21.0","153.2","1.3","1.1","92.2"
"K.J. Osborn","MIN","WR63","0.3","2.5","0.0","48.7","629.3","5.0","0.6","91.8"
"Hunter Henry","NE","TE10","0.0","0.0","0.0","51.5","567.6","5.8","0.1","91.6"
"Zach Ertz","ARI","TE11","0.0","0.0","0.0","61.1","633.7","4.7","0.6","90.5"
"Dameon Pierce","HOU","RB47","130.1","513.5","3.4","21.9","171.8","0.8","1.8","89.7"
"Mike Gesicki","MIA","TE12","0.0","0.0","0.0","61.5","660.8","4.1","0.6","89.2"
"Alexander Mattison","MIN","RB48","117.8","489.1","2.8","25.1","184.9","1.0","1.2","87.6"
"Mark Ingram II","NO","RB49","132.5","509.9","3.7","18.7","133.4","0.6","1.3","87.1"
"Kenneth Gainwell","PHI","RB50","87.8","381.1","3.9","26.3","202.4","1.2","1.3","86.2"
"Jalen Tolbert","DAL","WR64","0.5","3.0","0.0","47.1","612.7","4.3","0.7","86.1"
"Pat Freiermuth","PIT","TE13","0.0","0.0","0.0","62.5","559.9","5.2","0.7","86.0"
"Skyy Moore","KC","WR65","0.5","3.0","0.0","45.2","601.9","4.6","1.2","86.0"
"Noah Fant","SEA","TE14","0.0","0.0","0.0","61.5","629.4","3.8","0.6","84.6"
"Cole Kmet","CHI","TE15","0.0","0.0","0.0","61.4","640.2","3.6","0.7","84.4"
"Tyler Higbee","LAR","TE16","0.0","0.0","0.0","57.4","578.5","4.6","0.7","84.2"
"Nyheim Hines","IND","RB51","60.9","277.8","1.7","50.1","386.6","2.0","2.4","83.9"
"Albert Okwuegbunam","DEN","TE17","0.0","0.0","0.0","53.1","554.3","4.9","0.7","83.6"
"DJ Chark Jr.","DET","WR66","0.3","2.0","0.0","40.8","584.5","4.2","0.1","83.4"
"David Njoku","CLE","TE18","0.0","0.0","0.0","46.3","568.2","4.4","0.1","83.3"
"Rondale Moore","ARI","WR67","16.8","82.3","0.5","57.9","553.4","3.0","0.9","83.1"
"Jahan Dotson","WAS","WR68","0.5","2.8","0.0","48.7","646.8","3.3","1.2","82.4"
"Kenyan Drake","LV","RB52","88.8","377.5","3.1","27.3","217.7","0.9","0.7","82.3"
"Corey Davis","NYJ","WR69","0.0","0.0","0.0","44.3","608.5","3.8","0.7","82.2"
"J.D. McKissic","WAS","RB53","55.0","246.8","1.7","46.1","368.7","1.7","0.7","81.1"
"Jameson Williams","DET","WR70","0.5","2.8","0.0","45.0","613.4","3.6","1.1","80.8"
"Curtis Samuel","WAS","WR71","13.5","77.7","0.8","43.7","483.9","3.4","0.7","80.1"
"George Pickens","PIT","WR72","0.5","2.3","0.0","50.4","626.0","3.2","1.2","79.5"
"Irv Smith Jr.","MIN","TE19","0.0","0.0","0.0","51.0","525.5","4.5","0.2","79.5"
"Logan Thomas","WAS","TE20","0.0","0.0","0.0","50.8","523.0","4.6","0.6","78.9"
"Austin Hooper","TEN","TE21","0.0","0.0","0.0","56.0","525.0","4.5","0.6","78.5"
"Gerald Everett","LAC","TE22","0.0","0.0","0.0","53.9","542.7","4.4","1.3","78.0"
"Robert Tonyan","GB","TE23","0.0","0.0","0.0","46.5","511.4","4.5","0.1","77.6"
"Donovan Peoples-Jones","CLE","WR73","0.0","0.0","0.0","39.0","602.6","3.1","0.7","77.5"
"Tyler Allgeier","ATL","RB54","111.7","444.1","2.7","19.0","153.1","0.7","1.7","77.0"
"Isaiah Spiller","LAC","RB55","93.6","398.0","2.7","19.7","148.5","1.2","0.6","76.9"
"Randall Cobb","GB","WR74","1.0","3.7","0.0","40.3","506.8","4.5","0.7","76.6"
"Nico Collins","HOU","WR75","0.0","0.0","0.0","44.7","579.0","3.0","0.2","75.7"
"Rachaad White","TB","RB56","91.6","373.2","3.5","18.2","141.7","0.8","1.2","74.8"
"Darrel Williams","ARI","RB57","90.1","343.8","3.0","23.1","195.6","0.8","1.2","74.2"
"A.J. Green","ARI","WR76","0.0","0.0","0.0","38.9","549.8","3.0","0.1","72.9"
"Rex Burkhead","HOU","RB58","80.1","305.3","2.4","29.6","230.0","1.1","0.7","72.8"
"Damien Williams","ATL","RB59","89.6","361.5","2.8","22.5","160.2","1.0","1.2","72.8"
"Nick Westbrook-Ikhine","TEN","WR77","0.0","0.0","0.0","41.0","515.6","3.7","0.7","72.4"
"Evan Engram","JAC","TE24","0.0","0.0","0.0","50.3","527.3","3.5","0.7","72.3"
"James Washington","DAL","WR78","0.5","3.3","0.0","32.3","473.4","4.0","0.1","71.5"
"Alec Pierce","IND","WR79","0.0","0.0","0.0","39.5","503.8","3.6","0.3","71.5"
"Jamison Crowder","BUF","WR80","0.3","1.3","0.0","47.6","489.4","3.9","0.7","71.4"
"Kyle Rudolph","TB","TE25","0.0","0.0","0.0","45.0","463.0","4.0","0.0","70.3"
"Cedrick Wilson Jr.","MIA","WR81","0.8","2.0","0.0","43.0","512.0","3.3","0.8","69.7"
"Brian Robinson Jr.","WAS","RB60","94.3","404.8","3.0","13.0","97.4","0.5","1.2","68.8"
"James White","NE","RB61","37.2","148.0","1.1","43.7","344.8","2.2","0.2","68.7"
"Velus Jones Jr.","CHI","WR82","2.1","12.6","0.1","37.9","484.3","3.2","0.3","68.6"
"Joshua Palmer","LAC","WR83","0.0","0.0","0.0","41.6","483.7","3.5","0.4","68.5"
"Parris Campbell","IND","WR84","0.8","6.8","0.0","38.7","492.2","3.1","0.1","68.4"
"Sterling Shepard","NYG","WR85","1.3","5.5","0.0","54.0","528.4","2.6","0.6","67.5"
"Kendrick Bourne","NE","WR86","5.8","46.8","0.1","36.0","460.9","2.7","0.7","66.6"
"John Metchie III","HOU","WR87","0.0","0.0","0.0","42.6","507.8","2.6","0.3","66.0"
"Sammy Watkins","GB","WR88","0.8","4.4","0.0","36.7","479.5","3.0","0.7","65.3"
"Hayden Hurst","CIN","TE26","0.0","0.0","0.0","43.9","433.3","3.9","0.7","65.3"
"Devin Duvernay","BAL","WR89","3.3","22.0","0.1","42.5","461.6","2.7","0.4","64.5"
"Byron Pringle","CHI","WR90","0.0","0.0","0.0","38.9","495.8","2.4","0.3","63.7"
"Sony Michel","MIA","RB62","103.4","431.9","2.5","8.9","57.4","0.2","0.7","63.4"
"Cameron Brate","TB","TE27","0.0","0.0","0.0","40.1","385.0","4.1","0.2","63.0"
"Mo Alie-Cox","IND","TE28","0.0","0.0","0.0","34.4","425.2","3.3","0.1","62.1"
"Zay Jones","JAC","WR91","0.5","0.8","0.0","40.1","465.9","2.6","0.6","61.0"
"Nelson Agholor","NE","WR92","1.8","9.4","0.1","32.2","434.4","2.6","0.1","59.9"
"Dee Eskridge","SEA","WR93","6.4","43.7","0.1","33.3","415.0","2.3","0.3","59.7"
"Khalil Herbert","CHI","RB63","89.8","377.8","2.0","13.9","101.0","0.3","1.2","59.6"
"Bryan Edwards","ATL","WR94","0.0","0.0","0.0","31.6","448.8","2.4","0.1","59.2"
"Laviska Shenault Jr.","JAC","WR95","12.8","62.1","0.5","35.8","372.5","2.2","0.6","58.4"
"Brevin Jordan","HOU","TE29","0.0","0.0","0.0","39.3","380.9","3.2","0.2","57.2"
"Braxton Berrios","NYJ","WR96","6.5","39.3","1.1","34.7","356.1","2.0","0.7","57.1"
"Jerick McKinnon","KC","RB64","39.1","161.2","1.3","30.3","238.5","1.6","0.3","56.6"
"Matt Breida","NYG","RB65","77.0","338.5","1.7","12.8","99.2","0.7","1.7","54.6"
"Ryan Nall","DAL","RB66","109.0","322.0","2.0","10.0","63.0","1.0","1.0","54.5"
"C.J. Uzomah","NYJ","TE30","0.0","0.0","0.0","40.1","384.0","2.6","0.1","53.9"
"Adam Trautman","NO","TE31","0.0","0.0","0.0","36.2","383.8","2.6","0.6","52.7"
"Samaje Perine","CIN","RB67","68.4","291.9","1.5","17.5","122.0","0.6","0.6","52.6"
"Dontrell Hilliard","TEN","RB68","47.3","239.4","1.7","25.8","162.3","0.5","0.7","51.9"
"Darius Slayton","NYG","WR97","0.3","-2.8","0.0","29.1","389.5","2.3","0.6","51.6"
"D'Onta Foreman","CAR","RB69","77.8","327.1","2.2","6.1","56.3","0.1","0.7","50.9"
"David Bell","CLE","WR98","0.7","4.3","0.0","29.0","389.5","2.1","0.6","50.8"
"Jalen Guyton","LAC","WR99","4.7","26.6","0.1","23.3","342.6","2.2","0.1","50.5"
"Boston Scott","PHI","RB70","61.4","268.3","2.9","7.3","52.0","0.2","0.2","50.3"
"Jonnu Smith","NE","TE32","0.0","0.0","0.0","32.3","349.6","2.5","0.1","49.8"
"Olamide Zaccheaus","ATL","WR100","0.3","0.8","0.0","28.7","364.8","2.0","0.1","48.4"
"Harrison Bryant","CLE","TE33","0.0","0.0","0.0","29.2","309.4","2.9","0.1","48.0"
"Jauan Jennings","SF","WR101","0.0","0.0","0.0","29.0","312.4","2.8","0.1","47.7"
"Terrace Marshall Jr.","CAR","WR102","0.0","0.0","0.0","30.4","361.1","2.0","0.3","47.7"
"Zamir White","LV","RB71","62.3","269.4","2.3","7.5","54.5","0.2","0.3","47.0"
"Wan'Dale Robinson","NYG","WR103","2.6","16.0","0.1","31.4","354.4","1.6","0.3","46.7"
"Chuba Hubbard","CAR","RB72","61.0","229.4","1.8","15.7","112.7","0.5","0.6","46.5"
"Isaiah McKenzie","BUF","WR104","9.0","53.6","0.4","25.4","247.5","2.1","0.3","44.5"
"Tyler Conklin","NYJ","TE34","0.0","0.0","0.0","32.5","320.8","2.0","0.1","44.1"
"Paul Quessenberry","HOU","TE35","0.0","0.0","0.0","38.0","340.0","2.0","1.0","44.0"
"Ricky Seals-Jones","NYG","TE36","0.0","0.0","0.0","29.9","291.0","2.4","0.0","43.4"
"Amari Rodgers","GB","WR105","0.8","5.5","0.0","24.3","315.0","1.9","0.6","42.6"
"Foster Moreau","LV","TE37","0.0","0.0","0.0","23.4","266.7","2.6","0.1","42.3"
"Dan Arnold","JAC","TE38","0.0","0.0","0.0","28.0","330.2","1.8","0.7","42.3"
"KJ Hamler","DEN","WR106","1.3","5.8","0.0","23.0","306.2","2.0","0.6","41.8"
"Chris Conley","HOU","WR107","0.0","0.0","0.0","24.4","322.8","1.6","0.3","41.5"
"Ja'Marcus Bradley","CLE","WR108","0.0","0.0","0.0","25.4","305.9","1.7","0.0","40.7"
"Jeremiah Hall","NYG","RB73","0.0","0.0","0.0","35.0","307.0","2.0","1.0","40.7"
"Cade Otton","TB","TE39","0.0","0.0","0.0","26.1","274.0","2.4","0.6","40.4"
"Marquez Callaway","NO","WR109","2.2","13.3","0.1","19.2","267.6","1.9","0.0","39.9"
"Quez Watkins","PHI","WR110","0.0","0.0","0.0","22.9","291.7","1.8","0.1","39.9"
"Demarcus Robinson","LV","WR111","0.0","0.0","0.0","23.5","274.0","2.1","0.2","39.3"
"Keelan Cole Sr.","LV","WR112","0.0","0.3","0.0","20.2","293.1","1.7","0.0","39.3"
"Tyrion Davis-Price","SF","RB74","53.7","230.7","1.9","5.1","36.5","0.2","0.3","38.6"
