"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Joe Reed","LAC","WR245","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Colin Thompson","CAR","TE137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Deon Cain","PHI","WR246","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Rico Gafford","GB","CB1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Troy Fumagalli","SF","TE138","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Lovett","MIA","QB2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevon Wesco","NYJ","TE139","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Spencer Brown","BUF","OT1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"J.P. Holtz","NO","TE140","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austin Mack","SF","WR247","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gerrid Doaks","MIA","RB166","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Ellis","ARI","TE141","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lawrence Cager","NYJ","WR248","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Kelly","CLE","RB167","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Gentry","BUF","WR249","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Myarick","NYG","TE142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Robert Foster","NYG","WR250","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate McCrary","BAL","RB168","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tavon Austin","BUF","WR251","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taiwan Jones","BUF","RB169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kenjon Barner","TB","RB170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Kinsey","TEN","WR252","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kelvin Harmon","WAS","WR253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Franks","KC","TE143","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"J.J. Koski","LAR","WR254","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","MIA","RB171","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cethan Carter","MIA","TE144","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Erickson","WAS","WR255","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Bonnafon","WAS","RB172","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner Hudson","SF","TE145","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Maurice Ffrench","LAC","WR256","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"C.J. Board","NYG","WR257","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Darius Bradwell","CAR","RB173","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Noah Togiai","PHI","TE146","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tom Kennedy","DET","WR258","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
